# bin	classification	reason	lineage	lineage scores	superkingdom	phylum	class	order	family	genus	species
Bin_0-contigs.fa	taxid assigned	based on 3545/4682 ORFs	1;131567;2;57723;533205;574975;574976;1951928;2052165*	1.00;0.99;0.97;0.92;0.83;0.83;0.83;0.77;0.77	Bacteria: 0.97	Acidobacteria: 0.92	Holophagae: 0.83	Holophagales: 0.83	Holophagaceae: 0.83	NA	Holophagaceae bacterium*: 0.77
Bin_90-contigs.fa	taxid assigned	based on 2/8 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Viruses: 1.00	Uroviricota: 1.00	Caudoviricetes: 1.00	Caudovirales: 1.00	NA	NA	uncultured Caudovirales phage: 1.00
Bin_91-contigs.fa	taxid assigned	based on 6893/7383 ORFs	1;131567;2;1783270;68336;976;200643	1.00;1.00;0.99;0.82;0.81;0.76;0.35	Bacteria: 0.99	Bacteroidetes: 0.76	Bacteroidia: 0.35	no support	no support	no support	no support
Bin_92-contigs.fa	taxid assigned	based on 1/7 ORFs	1;131567;2	1.00;1.00;1.00	Bacteria: 1.00	no support	no support	no support	no support	no support	no support
Bin_93-contigs.fa	taxid assigned	based on 1/2 ORFs	1;131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6657;2172821;72037;6830;116569;116570;6833;88013;88014;88015	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Eukaryota: 1.00	Arthropoda: 1.00	Hexanauplia: 1.00	Calanoida: 1.00	Temoridae: 1.00	Eurytemora: 1.00	Eurytemora affinis: 1.00
Bin_94-contigs.fa	taxid assigned	based on 4/15 ORFs	1;131567;2;1783270;68336;976;117743;200644;1853230;332102;2645487;1917219	1.00;1.00;1.00;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58;0.58	Bacteria: 1.00	Bacteroidetes: 0.58	Flavobacteriia: 0.58	Flavobacteriales: 0.58	Crocinitomicaceae: 0.58	Fluviicola: 0.58	Fluviicola sp.: 0.58
Bin_95-contigs.fa	taxid assigned	based on 665/707 ORFs	1;131567;2;1224;28211	1.00;0.92;0.92;0.66;0.46	Bacteria: 0.92	Proteobacteria: 0.66	Alphaproteobacteria: 0.46	no support	no support	no support	no support
Bin_96-contigs.fa	taxid assigned	based on 345/557 ORFs	1;131567;2;1224;1236;33811;1913989	1.00;0.91;0.82;0.53;0.44;0.40;0.40	Bacteria: 0.82	Proteobacteria: 0.53	Gammaproteobacteria: 0.44	NA	NA	NA	Gammaproteobacteria bacterium: 0.40
Bin_97-contigs.fa	no taxid assigned	no hits to database
Bin_98-contigs.fa	taxid assigned	based on 11885/12785 ORFs	1;131567;2;1783270;68336;976;200643	1.00;1.00;1.00;0.89;0.89;0.87;0.43	Bacteria: 1.00	Bacteroidetes: 0.87	Bacteroidia: 0.43	no support	no support	no support	no support
Bin_99-contigs.fa	taxid assigned	based on 2887/6470 ORFs	1;131567;2	1.00;0.76;0.68	Bacteria: 0.68	no support	no support	no support	no support	no support	no support
